ticks,open,high,low,close,date_time
1.69085E+12,36.17,37.07,35.59,36.56,2023/8/1
1.69093E+12,36.56,37.46,36.4,36.82,2023/8/2
1.69102E+12,36.82,37.08,35.74,36.21,2023/8/3
1.69111E+12,36.21,36.26,34.21,34.37,2023/8/4
1.69119E+12,34.37,34.6,33.42,33.79,2023/8/5
1.69128E+12,33.79,34.3,33.32,34.03,2023/8/6
1.69137E+12,34.03,36.75,33.93,36.29,2023/8/7
1.69145E+12,36.29,41.23,34.76,39.85,2023/8/8
1.69154E+12,39.85,40.64,38.51,38.73,2023/8/9
1.69163E+12,38.73,38.73,36.04,36.2,2023/8/10
1.69171E+12,36.2,36.22,32.74,32.74,2023/8/11
1.6918E+12,32.74,32.74,31.41,32.38,2023/8/12
1.69188E+12,32.38,33.76,32.18,33.76,2023/8/13
1.69197E+12,33.76,35.03,32.21,35.01,2023/8/14
1.69206E+12,35.01,36.53,34.43,34.58,2023/8/15
1.69214E+12,34.58,37.43,34.23,36.56,2023/8/16
1.69223E+12,36.56,53.59,36.3,52.3,2023/8/17
1.69232E+12,52.3,52.3,41.49,43.58,2023/8/18
1.6924E+12,43.58,43.97,36.62,43.01,2023/8/19
1.69249E+12,43.01,43.38,40.24,43.18,2023/8/20
1.69258E+12,43.18,43.92,42.3,42.63,2023/8/21
1.69266E+12,42.63,44.11,41.89,42.13,2023/8/22
1.69275E+12,42.13,44.02,40.05,43.38,2023/8/23
1.69284E+12,43.38,43.38,41.37,41.72,2023/8/24
1.69292E+12,41.72,42.18,36.25,36.31,2023/8/25
1.69301E+12,36.31,36.35,35.36,35.52,2023/8/26
1.69309E+12,35.52,36.3,35.24,36.05,2023/8/27
1.69318E+12,36.05,37.6,35.82,36.42,2023/8/28
1.69327E+12,36.42,44.99,36.08,40.6,2023/8/29
1.69335E+12,40.6,40.6,38.08,38.18,2023/8/30
