ticks,volume,cost,status,open,low,high,close,date_time
1.65951E+12,10086.00116,233968880,ok,22999.5,22740,23669.5,22952,2022/8/3 8:00
1.6596E+12,9606.530357,219681630,ok,22951.5,22396.5,23438,23191.5,2022/8/4 8:00
1.65969E+12,12710.20788,294178760,ok,23191.5,22768,23486,23210.5,2022/8/5 8:00
1.65977E+12,4725.214191,109169200,ok,23210.5,22863,23263.5,23028,2022/8/6 8:00
1.65986E+12,6337.084966,147671880,ok,23028.5,22899,23861.5,23831.5,2022/8/7 8:00
1.65995E+12,8704.30779,208973240,ok,23827,23640.5,24255.5,23888.5,2022/8/8 8:00
1.66003E+12,10914.0972,252554690,ok,23888.5,22676,23896,22974.5,2022/8/9 8:00
1.66012E+12,14528.78205,347276650,ok,22974.5,22974.5,24759,24458.5,2022/8/10 8:00
1.6602E+12,13163.15159,320509150,ok,24465.5,23800,24925,23998,2022/8/11 8:00
1.66029E+12,10223.49835,247310110,ok,23998.5,23609,24908,24601,2022/8/12 8:00
1.66038E+12,5479.16081,134934160,ok,24600.5,24315,25056.5,24909,2022/8/13 8:00
1.66046E+12,10322.90788,253329580,ok,24907,23957.5,25230.5,24045.5,2022/8/14 8:00
1.66055E+12,8847.341886,213014080,ok,24045.5,23772,24324,24084.5,2022/8/15 8:00
1.66064E+12,10750.41198,258159090,ok,24084.5,23671.5,24449.5,23790,2022/8/16 8:00
1.66072E+12,9808.89703,230407820,ok,23787.5,23176,23928,23415,2022/8/17 8:00
1.66081E+12,17819.82647,401821360,ok,23415,21345,23592,21894.5,2022/8/18 8:00
1.6609E+12,18737.56853,401167070,ok,21895.5,20783,21900,21299.5,2022/8/19 8:00
1.66098E+12,7035.624315,148858460,ok,21300,20759.5,21365.5,21260,2022/8/20 8:00
1.66107E+12,7434.462819,159416490,ok,21259.5,21061.5,21792,21102,2022/8/21 8:00
1.66116E+12,11511.79256,243718220,ok,21100,20888,21545,21309.5,2022/8/22 8:00
1.66124E+12,9579.918675,205377720,ok,21309.5,21149.5,21685.5,21318.5,2022/8/23 8:00
1.66133E+12,9107.683556,196485160,ok,21320.5,21259.5,21900,21752,2022/8/24 8:00
1.66141E+12,10239.70521,220728480,ok,21752,21327.5,21818,21449.5,2022/8/25 8:00
1.6615E+12,26030.68856,545410580,ok,21449,19927,21906,20268.5,2022/8/26 8:00
1.66159E+12,7894.087354,158114140,ok,20266.5,19796,20294.5,20047,2022/8/27 8:00
